City,Country,Latitude,Longitude,Date,Temperature_C,Raw_Value,Average_C,Min_C,Max_C,Current_C
Parakou,Benin,9.3372,2.6103,2024-12-26,32.45,15280,31.96,30.51,33.25,30.51
Parakou,Benin,9.3372,2.6103,2025-01-01,32.63,15289,31.96,30.51,33.25,30.51
Parakou,Benin,9.3372,2.6103,2025-01-09,30.97,15206,31.96,30.51,33.25,30.51
Parakou,Benin,9.3372,2.6103,2025-01-17,33.25,15320,31.96,30.51,33.25,30.51
Parakou,Benin,9.3372,2.6103,2025-01-25,30.51,15183,31.96,30.51,33.25,30.51
Djougou,Benin,9.7084,1.666,2024-12-26,32.43,15279,32.04,30.97,33.57,31.59
Djougou,Benin,9.7084,1.666,2025-01-01,31.65,15240,32.04,30.97,33.57,31.59
Djougou,Benin,9.7084,1.666,2025-01-09,30.97,15206,32.04,30.97,33.57,31.59
Djougou,Benin,9.7084,1.666,2025-01-17,33.57,15336,32.04,30.97,33.57,31.59
Djougou,Benin,9.7084,1.666,2025-01-25,31.59,15237,32.04,30.97,33.57,31.59
Bohicon,Benin,7.1782,2.0667,2024-12-26,35.09,15412,34.47,32.87,35.25,34.51
Bohicon,Benin,7.1782,2.0667,2025-01-01,34.63,15389,34.47,32.87,35.25,34.51
Bohicon,Benin,7.1782,2.0667,2025-01-09,32.87,15301,34.47,32.87,35.25,34.51
Bohicon,Benin,7.1782,2.0667,2025-01-17,35.25,15420,34.47,32.87,35.25,34.51
Bohicon,Benin,7.1782,2.0667,2025-01-25,34.51,15383,34.47,32.87,35.25,34.51
Natitingou,Benin,10.3045,1.3797,2024-12-26,34.33,15374,33.42,32.29,34.89,32.37
Natitingou,Benin,10.3045,1.3797,2025-01-01,33.21,15318,33.42,32.29,34.89,32.37
Natitingou,Benin,10.3045,1.3797,2025-01-09,32.29,15272,33.42,32.29,34.89,32.37
Natitingou,Benin,10.3045,1.3797,2025-01-17,34.89,15402,33.42,32.29,34.89,32.37
Natitingou,Benin,10.3045,1.3797,2025-01-25,32.37,15276,33.42,32.29,34.89,32.37
Kandi,Benin,11.1342,2.9386,2024-12-26,31.17,15216,31.44,30.83,32.95,31.07
Kandi,Benin,11.1342,2.9386,2025-01-01,31.17,15216,31.44,30.83,32.95,31.07
Kandi,Benin,11.1342,2.9386,2025-01-09,30.83,15199,31.44,30.83,32.95,31.07
Kandi,Benin,11.1342,2.9386,2025-01-17,32.95,15305,31.44,30.83,32.95,31.07
Kandi,Benin,11.1342,2.9386,2025-01-25,31.07,15211,31.44,30.83,32.95,31.07
